Продукт,Калорийность,Белки,Жиры,Углеводы
"Нерка, горячего копчения (Аляска)",141 кКал,"24,5 г","4,75 г",0 г
"Нерка, консервированная без костей, (Аляска)",161 кКал,"27,31 г","5,76 г",0 г
"Нерка, консервированная без соли",153 кКал,"20,47 г","7,31 г",0 г
"Нерка, консервированная, всё содержимое",153 кКал,"20,63 г","7,17 г",0 г
"Нерка, консервированная, с костями, содержимое без жидкости",167 кКал,"23,59 г","7,39 г",0 г
"Нерка, консервированная, содержимое без жидкости, без кожи и костей",158 кКал,"26,33 г","5,87 г",0 г
"Нерка, консервированная, холодного копчения, (Аляска)",206 кКал,"35,19 г","7,26 г",0 г
"Нерка, красный лосось, филе с кожей, холодного копчения (Аляска)",345 кКал,"60,62 г","11,43 г",0 г
"Нерка, приготовленная на жару",156 кКал,"26,48 г","5,57 г",0 г
Нотоскопелюс кроуэри,220 кКал,"15,5 г","17,5 г",0 г
Нототения мраморная,148 кКал,"15,7 г","9,5 г",0 г
Окунь горячего копчения,166 кКал,"23,5 г",8 г,0 г
"Окунь жареный, по 1-336",180 кКал,"20,6 г","9,1 г",4 г
"Окунь запеченный, по 1-374",103 кКал,"6,8 г","4,7 г","8,4 г"
Окунь морской (сибас),103 кКал,"18,2 г","3,3 г",0 г
"Окунь морской (сибас) отварной, по 1-338",112 кКал,"19,9 г","3,6 г",0 г
"Окунь морской (сибас) тушеный, по 1-364",120 кКал,"10,9 г","6,6 г","4,2 г"
"Окунь морской атлантический (золотистый, обыкновенный)",79 кКал,"15,31 г","1,54 г",0 г
"Окунь морской атлантический (золотистый, обыкновенный), приготовленный на жару",96 кКал,"18,51 г","1,87 г",0 г
Окунь морской холодного копчения,199 кКал,"26,4 г","10,4 г",0 г
"Окунь морской, все виды",97 кКал,"18,43 г",2 г,0 г
"Окунь морской, приготовленный на жару",124 кКал,"23,63 г","2,56 г",0 г
"Окунь морской, тихоокеанский клювач",90 кКал,"18,36 г","1,34 г",0 г
"Окунь морской, тихоокеанский клювач, приготовленный на жару",109 кКал,"22,23 г","1,62 г",0 г
"Окунь полосатый (полосатый басс, или полосатый лаврак), приготовленный на жару",124 кКал,"22,73 г","2,99 г",0 г
"Окунь полосатый (полосатый басс, или полосатый лаврак), сырой",97 кКал,"17,73 г","2,33 г",0 г
"Окунь пресноводный, все виды, приготовленный на жару",146 кКал,"24,18 г","4,73 г",0 г
"Окунь пресноводный, все виды, сырой",114 кКал,"18,86 г","3,69 г",0 г
"Окунь припущенный, по 1-348",109 кКал,"19,5 г","3,5 г",0 г
Окунь речной,91 кКал,"19,39 г","0,92 г",0 г
Окунь речной,82 кКал,"18,5 г","0,9 г",0 г
