Продукт,Калорийность,Белки,Жиры,Углеводы
        "Calories": "118 кКал",
        "Proteins": "16 г",
        "Fats": "6 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Грудинка [Черкизово]",
        "Calories": "228 кКал",
        "Proteins": "12 г",
        "Fats": "20 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Грудинка в Маринаде \"по-Домашнему\" [Черкизово]",
        "Calories": "350 кКал",
        "Proteins": "16 г",
        "Fats": "30,5 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Грудинка по-Черкизовски [Черкизово]",
        "Calories": "228 кКал",
        "Proteins": "12 г",
        "Fats": "20 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Грудинка Столичная [Черкизово]",
        "Calories": "280 кКал",
        "Proteins": "15 г",
        "Fats": "24 г",
        "Urglevodi": "1 г"
    },
    {
        "Title": "Грудинка Фермерская [Черкизово]",
        "Calories": "248 кКал",
        "Proteins": "15 г",
        "Fats": "20 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Докторская Оригинальная [Черкизово]",
        "Calories": "172 кКал",
        "Proteins": "10 г",
        "Fats": "12 г",
        "Urglevodi": "6 г"
    },
    {
        "Title": "Докторская по-Черкизовски [Черкизово]",
        "Calories": "240 кКал",
        "Proteins": "12 г",
        "Fats": "20 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Карбонад Берлинский [Черкизово]",
        "Calories": "140 кКал",
        "Proteins": "19 г",
        "Fats": "6,5 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Карбонад в Маринаде [Черкизово]",
        "Calories": "240 кКал",
        "Proteins": "14 г",
        "Fats": "20 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Карбонад Кремлевский [Черкизово]",
        "Calories": "96 кКал",
        "Proteins": "15 г",
        "Fats": "4 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Карбонад Свиной [Черкизово]",
        "Calories": "217 кКал",
        "Proteins": "16 г",
        "Fats": "17 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Карбонад Фермерский [Черкизово]",
        "Calories": "121 кКал",
        "Proteins": "15 г",
        "Fats": "5 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Карпаччо из Индейки [Черкизово]",
        "Calories": "169 кКал",
        "Proteins": "35 г",
        "Fats": "3 г",
        "Urglevodi": "0,5 г"
    },
    {
        "Title": "Карпаччо из Курицы [Черкизово]",
