Продукт,Калорийность,Белки,Жиры,Углеводы
        "Urglevodi": "7,6 г"
    },
    {
        "Title": "Зеленая Фасоль Резаная [Бондюэль]",
        "Calories": "18 кКал",
        "Proteins": "1,6 г",
        "Fats": "0,1 г",
        "Urglevodi": "1,2 г"
    },
    {
        "Title": "Зелёная фасоль резаная [Бондюэль]",
        "Calories": "25 кКал",
        "Proteins": "1,4 г",
        "Fats": "0,2 г",
        "Urglevodi": "4,4 г"
    },
    {
        "Title": "Зелёная Фасоль Целая [Бондюэль]",
        "Calories": "33 кКал",
        "Proteins": "1,8 г",
        "Fats": "0,2 г",
        "Urglevodi": "7,6 г"
    },
    {
        "Title": "Зеленый Горошек \"Нежный\" [Бондюэль]",
        "Calories": "52 кКал",
        "Proteins": "4,8 г",
        "Fats": "0,2 г",
        "Urglevodi": "7,5 г"
    },
    {
        "Title": "Зелёный Горошек [Бондюэль]",
        "Calories": "52 кКал",
        "Proteins": "4,8 г",
        "Fats": "0,2 г",
        "Urglevodi": "7,5 г"
    },
    {
        "Title": "Зелёный Горошек в Овощном Салате \"Маседуан\" [Бондюэль]",
        "Calories": "43 кКал",
        "Proteins": "2,2 г",
        "Fats": "0,7 г",
        "Urglevodi": "4,9 г"
    },
    {
        "Title": "Зелёный горошек замороженный [Бондюэль]",
        "Calories": "85 кКал",
        "Proteins": "6,9 г",
        "Fats": "0,4 г",
        "Urglevodi": "19,4 г"
    },
    {
        "Title": "Зелёный Горошек Консервированный [Бондюэль]",
        "Calories": "74 кКал",
        "Proteins": "5,5 г",
        "Fats": "0,7 г",
        "Urglevodi": "7,4 г"
    },
    {
        "Title": "Зелёный горошек Нежный [Бондюэль]",
        "Calories": "66 кКал",
        "Proteins": "5 г",
        "Fats": "0,3 г",
        "Urglevodi": "10,7 г"
    },
    {
        "Title": "Зелёный Горошек Нежный 0,2% [Бондюэль]",
        "Calories": "52 кКал",
        "Proteins": "4,8 г",
        "Fats": "0,2 г",
        "Urglevodi": "7,5 г"
    },
    {
        "Title": "Зелёный Горошек Нежный 0,7% [Бондюэль]",
        "Calories": "52 кКал",
        "Proteins": "4,8 г",
        "Fats": "0,2 г",
        "Urglevodi": "7,5 г"
    },
    {
        "Title": "Зелёный Горошек Нежный 0% [Бондюэль]",
        "Calories": "89 кКал",
        "Proteins": "6,6 г",
        "Fats": "0 г",
        "Urglevodi": "15,4 г"
    },
    {
        "Title": "Зелёный Горошек с Молодой Морковью [Бондюэль]",
        "Calories": "48 кКал",
        "Proteins": "2,7 г",
        "Fats": "0,4 г",
        "Urglevodi": "6,5 г"
    },
    {
        "Title": "Зелёный Горошек с Морковью [Бондюэль]",
        "Calories": "49 кКал",
        "Proteins": "3,2 г",
        "Fats": "0,5 г",
        "Urglevodi": "5,4 г"
    },
    {
        "Title": "Зелёный Горошек с Морковью в Кубиках [Бондюэль]",
        "Calories": "49 кКал",
        "Proteins": "2,5 г",
        "Fats": "0,7 г",
        "Urglevodi": "5,8 г"
    },
    {
        "Title": "Икра Баклажанная [Бондюэль]",
        "Calories": "102 кКал",
        "Proteins": "1,7 г",
        "Fats": "7 г",
        "Urglevodi": "8,1 г"
    },
    {
        "Title": "Икра из Баклажанов Запеченных на Гриле [Бондюэль]",
        "Calories": "102 кКал",
        "Proteins": "1,7 г",
        "Fats": "7 г",
        "Urglevodi": "8,1 г"
    },
    {
        "Title": "Икра из Кабачков [Бондюэль]",
        "Calories": "97 кКал",
        "Proteins": "1 г",
        "Fats": "7 г",
        "Urglevodi": "7 г"
    },
    {
        "Title": "Италия Микс [Бондюэль]",
        "Calories": "76 кКал",
        "Proteins": "2 г",
        "Fats": "3,5 г",
        "Urglevodi": "6,8 г"
    },
    {
        "Title": "Кабачки по-Тоскански [Бондюэль]",
        "Calories": "72 кКал",
        "Proteins": "1,5 г",
        "Fats": "3,4 г",
        "Urglevodi": "8 г"
    },
    {
        "Title": "Капуста Брокколи [Бондюэль]",
        "Calories": "30 кКал",
        "Proteins": "2,3 г",
        "Fats": "0,3 г",
        "Urglevodi": "3,2 г"
    },
    {
        "Title": "Капуста Романеско [Бондюэль]",
        "Calories": "25 кКал",
        "Proteins": "2,9 г",
        "Fats": "0,5 г",
        "Urglevodi": "2,2 г"
    },
    {
        "Title": "Коричневая фасоль со сладким перцем в соусе Кайен [Бондюэль]",
        "Calories": "44 кКал",
        "Proteins": "2,6 г",
        "Fats": "0,4 г",
        "Urglevodi": "7,6 г"
    },
    {
        "Title": "Корнишоны Маринованные [Бондюэль]",
        "Calories": "20 кКал",
        "Proteins": "1 г",
        "Fats": "0,2 г",
