Продукт,Калорийность,Белки,Жиры,Углеводы
"Перец, фаршированный брынзой или сыром с яйцом (карачаево-черкесское национальное блюдо)","175,2 кКал","8,4 г","14,3 г","3,4 г"
"Перец, фаршированный овощами и рисом","131,8 кКал","2,7 г","8,9 г",11 г
Печенка в сметане,"184,7 кКал","8,9 г","14,6 г","4,7 г"
Печеночный паштет,"306,7 кКал","7,3 г","22,2 г","20,7 г"
Печень в сметанном соусе,"112,2 кКал","4,1 г",9 г,"4,1 г"
Печень по Берлински,"118,2 кКал","8,1 г","6,4 г","7,6 г"
Печень по Южноамерикански,"139,8 кКал","14,2 г","9,2 г",0 г
"Печень по-деревенски (печень, запеченная в яйце, - татарское национальное блюдо)",182 кКал,"16,5 г",11 г,"4,6 г"
Печень по-строгановски,347 кКал,"16,3 г","29,1 г","5,3 г"
Печень по-строгановски,"211,8 кКал",6 г,19 г,"4,4 г"
Печень по-шадрински,"84,8 кКал",11 г,"2,6 г","4,7 г"
Печень с грибами,"251,3 кКал","21,6 г","17,3 г","2,5 г"
"Печень, жаренная с жиром или луком","300,3 кКал","23,7 г","21,2 г","3,9 г"
"Печень, тушенная в соусе","362,4 кКал","12,3 г","18,2 г","39,8 г"
"Печенье ""Платочки""","302,2 кКал","8,9 г","19,5 г","24,2 г"
Поджарка,"357,6 кКал","26,1 г","26,1 г","4,9 г"
Поджарка из рыбы,"276,4 кКал","15,2 г",20 г,"9,5 г"
Помидоры жареные,"55,6 кКал","0,8 г","4,2 г",4 г
"Помидоры, фаршированные грибами",58 кКал,"1,6 г","4,1 г","3,9 г"
"Помидоры, фаршированные овощами и рисом",118 кКал,"2,3 г","7,6 г","10,8 г"
"Помидоры, фаршированные творогом","91,5 кКал","5,4 г","6,1 г","4,1 г"
"Помидоры, фаршированные яйцом и луком","95,4 кКал","3,1 г","7,7 г","3,8 г"
Поросенок отварной с хреном,"194,8 кКал","20,5 г","8,6 г","9,5 г"
Поросенок фаршированный,"120,3 кКал","16,5 г","5,7 г","0,6 г"
Почки жареные с помидорами или лимонным соком,"237,9 кКал","19,8 г","15,6 г","4,8 г"
Почки по-русски,"116,4 кКал","8,7 г","5,3 г","9,1 г"
Почки с грибами в соусе красном с вином,"154,7 кКал","12,8 г","9,8 г","4,1 г"
Птица или дичь под паровым соусом с грибами и рисом,322 кКал,"14,4 г","15,4 г","33,5 г"
Птица или кролик жареные,"508,3 кКал","31,2 г",42 г,"1,3 г"
"Птица или кролик, тушенные в соусе","265,5 кКал","17,5 г","19,1 г","6,2 г"
"Птица, дичь или кролик отварные с гарниром","335,8 кКал",16 г,"13,7 г","39,6 г"
"Птица, дичь или кролик по-столичному","396,2 кКал","22,9 г","21,2 г","30,3 г"
Рагу из баранины или свинины,"225,6 кКал","11,2 г","13,3 г","16,2 г"
Рагу из грибов с яйцами,"87,8 кКал","7,3 г","4,4 г","5,1 г"
Рагу из овощей,"147,2 кКал","4,5 г","7,9 г","15,4 г"
Рагу из овощей,"57,3 кКал","1,2 г",3 г,"6,9 г"
"Рагу из птицы, дичи, кролика или субпродуктов","246,2 кКал","14,1 г","16,4 г","11,2 г"
Рагу овощное (1-й вариант),"125,9 кКал","4,7 г","5,2 г","16,1 г"
Рагу овощное (2-й вариант),"107,7 кКал",3 г,"5,3 г","12,7 г"
"Репа или кабачки, фаршированные овощами и рисом","157,8 кКал","4,8 г","10,2 г","12,6 г"
"Репа, фаршированная грибами","189,9 кКал",5 г,"13,1 г","13,8 г"
Рис в капустных листьях с мясным фаршем,"38,4 кКал","1,4 г","1,1 г","6,2 г"
Рис запеченый,"361,2 кКал","10,9 г","23,5 г","28,3 г"
Рис припущенный,"163,6 кКал","5,7 г","6,1 г","22,9 г"
Рис припущенный с томатом,"208,4 кКал","8,3 г","7,7 г","28,3 г"
Ромштекс,"395,3 кКал","26,9 г","27,4 г","11,1 г"
Ромштексы,"212,8 кКал","13,2 г","17,7 г","0,2 г"
Рулет из баранины по-башкирски,"190,5 кКал","14,5 г","11,4 г","7,9 г"
Рулет из говядины,"387,3 кКал","32,5 г","28,1 г","1,3 г"
Рулет из курицы со свининой и черносливом,281 кКал,"18,5 г","19,6 г","8,2 г"
Рулет из печени с яблоками,"124,3 кКал","6,2 г","9,8 г","3,1 г"
Рулет из рыбы,"159,6 кКал","10,6 г","7,4 г","13,5 г"
Рулет или запеканка  картофельные с овощами или овощами и грибами,"128,8 кКал","4,3 г","6,1 г","15,2 г"
Рулет мясной с черносливом,"202,9 кКал","13,2 г","13,7 г","7,3 г"
Рулет с луком и яйцом,"255,5 кКал","17,8 г","16,5 г","9,5 г"
Рулет с макаронами или яйцом,"287,1 кКал","16,2 г","13,9 г",26 г
Рулет яичный с морковью,"198,6 кКал","9,9 г","15,7 г","4,7 г"
Рулетики куриные,142 кКал,"17,1 г","7,9 г","0,7 г"
"Рулетики мясные, фаршированные капустой, по-домашнему","460,4 кКал",16 г,"40,5 г","8,7 г"
