Продукт,Калорийность,Белки,Жиры,Углеводы
Пирожное Черный Лес [Ростик'c - KFC],478 кКал,"2,7 г","19,2 г","73,6 г"
Пирожок Малина-Черника [Ростик'c - KFC],308 кКал,"3,6 г","20,8 г","26,8 г"
Пирожок с Вишней [Ростик'c - KFC],246 кКал,"2,5 г","11,9 г","32,1 г"
Пирожок с Творогом [Ростик'c - KFC],261 кКал,"5,3 г",17 г,"26,6 г"
Пирожок с Яблоком [Ростик'c - KFC],303 кКал,"2,9 г","17,7 г","32,9 г"
Пончик [Ростик'c - KFC],231 кКал,"2,9 г",11 г,"29,3 г"
Райзер [Ростик'c - KFC],220 кКал,"11,3 г","8,5 г","24,7 г"
Ризотто с Грибами [Ростик'c - KFC],207 кКал,8 г,"9,6 г","22,2 г"
Рисбокс Терияки [Ростик'c - KFC],357 кКал,"16,8 г","9,2 г","51,8 г"
Рождественский Бургер [Ростик'c - KFC],258 кКал,"12,7 г","12,9 г","22,8 г"
Рожок [Ростик'c - KFC],131 кКал,"3,7 г","3,3 г","21,5 г"
Рожок в Глазури [Ростик'c - KFC],171 кКал,"3,4 г","6,3 г","25,3 г"
Салат Веджи [Ростик'c - KFC],54 кКал,2 г,"2,6 г","5,4 г"
Салат Коул Слоу [Ростик'c - KFC],108 кКал,"1,4 г","6,9 г","9,9 г"
Салат Летний [Ростик'c - KFC],105 кКал,"6,5 г","5,9 г","6,4 г"
Салат Терияки [Ростик'c - KFC],257 кКал,"14,7 г","8,6 г","30,4 г"
Салат Цезарь [Ростик'c - KFC],124 кКал,"11,1 г","5,9 г","6,6 г"
Салат Цезарь Лайт без Соуса [Ростик'c - KFC],137 кКал,"10,6 г","7,3 г","7,3 г"
Салат Цезарь Лайт без Соуса [Ростик'c - KFC],137 кКал,"10,6 г","7,3 г","7,3 г"
САНДВИЧ ЗИНГЕР (порция 157 гр) [Ростик'c - KFC],"362,7 кКал","18,2 г","16,8 г","34,9 г"
САНДВИЧ КЛАССИК (порция 157 гр) [Ростик'c - KFC],"345,4 кКал","17,1 г","13,8 г","38,2 г"
Сандвич Чикен Барбекю [Ростик'c - KFC],320 кКал,"15,7 г","11,4 г","38,7 г"
Сандерс [Ростик'c - KFC],212 кКал,"10,5 г","6,1 г","28,8 г"
Сандерс Баскет [Ростик'c - KFC],295 кКал,"25,1 г","16,7 г","11,2 г"
Сахар [Ростик'c - KFC],400 кКал,0 г,0 г,100 г
"СИБИРСКАЯ КОРОНА 0,3л (порция 300 гр) [Ростик'c - KFC]",138 кКал,0 г,0 г,"14,1 г"
"СИБИРСКАЯ КОРОНА 0,5л (порция 500 гр) [Ростик'c - KFC]",230 кКал,0 г,0 г,"23,5 г"
Сладкий Снэк Яблоко [Ростик'c - KFC],203 кКал,"3,5 г","6,6 г","32,3 г"
Соус Бальзамик [Ростик'c - KFC],366 кКал,"0,1 г",40 г,"1,4 г"
