Продукт,Калорийность,Белки,Жиры,Углеводы
Буженина [Ашан],250 кКал,10 г,23 г,0 г
Буженина Запеченая [Ашан],308 кКал,14 г,28 г,0 г
Буженина Купеческая [Ашан],273 кКал,12 г,25 г,0 г
Булгур [Ашан],370 кКал,12 г,"1,5 г",76 г
Булгур Био [Ашан],340 кКал,"13,2 г","1,7 г",63 г
Булка с Корицей и Миндалём [Ашан],398 кКал,"9,3 г","8,9 г",68 г
Булка Французская [Ашан],260 кКал,"8,2 г","0,9 г","54,9 г"
Булочка [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Булочка 8 Злаков [Ашан],227 кКал,"13,9 г","5,3 г","43,7 г"
Булочка Баварская [Ашан],195 кКал,"5,5 г","1,5 г",42 г
Булочка Бургер Дарк [Ашан],249 кКал,"6,1 г","4,5 г","46,1 г"
Булочка Гурман [Ашан],240 кКал,"8,5 г",1 г,49 г
Булочка Даллас [Ашан],402 кКал,"8,5 г","16,9 г","54,2 г"
Булочка Кайзерка [Ашан],232 кКал,7 г,"1,7 г","47,2 г"
Булочка Кукурузная [Ашан],260 кКал,12 г,"2,5 г","28,5 г"
Булочка Отрубная [Ашан],240 кКал,"7,5 г","3,5 г",44 г
Булочка по-Деревенски [Ашан],262 кКал,"8,8 г","1,1 г","54,4 г"
Булочка Пряный Аромат [Ашан],216 кКал,"7,8 г","0,9 г","43,3 г"
Булочка Пшенично-Ржаная [Ашан],223 кКал,"7,5 г",1 г,46 г
Булочка Ржано-Пшеничная [Ашан],204 кКал,"6,8 г","1,2 г",40 г
Булочка с Изюмом [Ашан],263 кКал,"7,5 г","2,9 г","50,5 г"
Булочка с Кунжутом [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Булочка с Луком [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Булочка с Семгой [Ашан],180 кКал,"10,3 г","13,8 г","23,1 г"
Булочка с Солодом и Кориандром [Ашан],249 кКал,"6,1 г","1,1 г",43 г
Булочка с Сыром [Ашан],249 кКал,"4,7 г","14,5 г","20,2 г"
Булочка Техас [Ашан],416 кКал,"8,4 г","16,2 г",59 г
Булочное Изделие Кукурузное [Ашан],273 кКал,11 г,"4,8 г","46,4 г"
Бургер Говяжий [Ашан],300 кКал,10 г,29 г,0 г
Бургер из Телятины [Ашан],89 кКал,16 г,3 г,0 г
Бурек с Брокколи [Ашан],230 кКал,8 г,11 г,31 г
Бурек с Яблочной Начинкой [Ашан],290 кКал,6 г,9 г,45 г
Буреки Курица с Паприкой [Ашан],249 кКал,"7,8 г","1,3 г","51,1 г"
Бурый Рис [Ашан],340 кКал,"7,5 г",2 г,73 г
Бутерброд с Курицей [Ашан],130 кКал,"8,5 г","7,5 г",9 г
Ванильный Соевый Био Напиток [Ашан],61 кКал,"3,7 г",2 г,"6,8 г"
Вареники с Картофелем и Грибами [Ашан],170 кКал,"5,5 г","3,5 г",28 г
Вареники с Картошкой [Ашан],174 кКал,"1,7 г","3,3 г","26,9 г"
Вареники с Творогом [Ашан],220 кКал,12 г,5 г,31 г
Варенье из Апельсинов [Ашан],238 кКал,"0,4 г","0,1 г","57,7 г"
Варенье Клубничное [Ашан],234 кКал,"0,7 г","0,2 г","56,5 г"
Ватрушка с Картофелем [Ашан],234 кКал,"8,2 г","7,3 г","34,2 г"
Ватрушка с Творогом [Ашан],266 кКал,"9,4 г","8,1 г",39 г
Ватрушка с Яблоками [Ашан],200 кКал,"6,7 г","8,5 г","17,5 г"
Вафельные Криспы [Ашан],338 кКал,"8,1 г",15 г,"71,3 г"
Вафельные Листы [Ашан],288 кКал,"10,4 г","1,4 г","66,4 г"
Вафли Вафи-Дафи [Ашан],520 кКал,"5,2 г",41 г,36 г
Вафли Голанские [Ашан],465 кКал,5 г,19 г,68 г
Вафли Медовые Био [Ашан],463 кКал,"4,5 г","20,5 г","64,5 г"
Вегетарианские Равиоли [Ашан],89 кКал,"2,9 г","2,9 г","11,6 г"
Вертут Шоколадно-Сливочный [Ашан],320 кКал,5 г,14 г,45 г
Весенняя Смесь [Ашан],45 кКал,"3,2 г",0 г,8 г
Ветчина для Завтрака [Ашан],183 кКал,12 г,15 г,0 г
Ветчина из Курицы [Ашан],122 кКал,12 г,6 г,5 г
Ветчина Куриная [Ашан],143 кКал,17 г,10 г,0 г
Ветчина с Сырной Начинкой [Ашан],260 кКал,"19,4 г","19,1 г","2,6 г"
Винегрет [Ашан],46 кКал,"1,4 г","0,1 г","9,9 г"
Винегрет Овощной [Ашан],149 кКал,"2,1 г","10,3 г","10,4 г"
Вишня Сушеная [Ашан],165 кКал,"0,2 г","0,2 г",42 г
Вобла Вяленая [Ашан],204 кКал,33 г,8 г,0 г
Вода Клубника [Ашан],15 кКал,0 г,0 г,"4,5 г"
Воздушный Рис [Ашан],381 кКал,"7,1 г","1,1 г",85 г
Волнушки Соленые [Ашан],22 кКал,"2,5 г","0,5 г","1,7 г"
Вырезка Говяжья [Ашан],181 кКал,"22,7 г",10 г,0 г
Вырезка Говяжья Фермерская [Ашан],140 кКал,18 г,8 г,0 г
Вырезка Свиная [Ашан],138 кКал,18 г,7 г,0 г
Вырезка Свиная Фермерская [Ашан],150 кКал,16 г,10 г,0 г
Вырезка Столичная [Ашан],75 кКал,12 г,3 г,0 г
Вырезка Телячья [Ашан],98 кКал,20 г,2 г,0 г
Гавайская Смесь [Ашан],90 кКал,"3,5 г",1 г,17 г
Галантин [Ашан],230 кКал,15 г,"18,5 г","1,5 г"
Галеты из Брокколи [Ашан],60 кКал,"1,5 г","1,5 г",10 г
Галеты из Риса с Кунжутом [Ашан],381 кКал,"8,4 г","3,4 г","77,5 г"
Галеты из Риса с Шоколадом [Ашан],509 кКал,"7,4 г","24,2 г","62,1 г"
Галеты Старт с Отрубями [Ашан],330 кКал,"11,5 г","1,5 г",69 г
Галстук с Шоколадом [Ашан],290 кКал,"5,3 г","13,6 г","36,4 г"
Геркулес [Ашан],400 кКал,11 г,6 г,70 г
Гнезда из Твёрдых Сортов Пшеницы [Ашан],340 кКал,"10,5 г",1 г,71 г
Говядина [Ашан],170 кКал,16 г,12 г,0 г
Говядина Варёно-Копченая [Ашан],144 кКал,18 г,8 г,0 г
Говядина для Тушения «Фермерская» [Ашан],230 кКал,16 г,18 г,0 г
Говядина для Тушения [Ашан],131 кКал,17 г,7 г,0 г
Говядина Духовая «Фермерская» [Ашан],240 кКал,14 г,20 г,0 г
Говядина Духовая [Ашан],240 кКал,14 г,20 г,0 г
Говядина Имперская [Ашан],154 кКал,15 г,10 г,1 г
Говядина Категории А [Ашан],123 кКал,19 г,5 г,0 г
Говядина Копчено-Вареная [Ашан],96 кКал,14 г,4 г,1 г
Говядина Кусок [Ашан],67 кКал,10 г,3 г,0 г
Говядина на Ребрышках [Ашан],189 кКал,18 г,13 г,0 г
Говядина Праздничная [Ашан],108 кКал,20 г,"3,5 г",0 г
Говядина Тазобедренная [Ашан],107 кКал,20 г,3 г,0 г
Говядина Тазобедренная Часть [Ашан],123 кКал,19 г,5 г,0 г
Говяжий Жир [Ашан],897 кКал,0 г,"99,7 г",0 г
Говяжий Фарш [Ашан],248 кКал,17 г,20 г,0 г
Говяжье Легкое [Ашан],92 кКал,"14,8 г","3,6 г",0 г
Голень Куриная [Ашан],223 кКал,23 г,"8,9 г","0,7 г"
Голова Форели [Ашан],97 кКал,"19,2 г","2,1 г",0 г
Голубцы Ленивые [Ашан],106 кКал,4 г,6 г,9 г
Голубцы Овощные [Ашан],77 кКал,"1,7 г","3,8 г","8,9 г"
Голубцы с Мясом и Рисом [Ашан],123 кКал,"6,8 г","7,8 г","6,2 г"
Голяшка Говяжья [Ашан],107 кКал,20 г,3 г,0 г
Голяшка Говяжья Б/К [Ашан],114 кКал,"19,3 г","4,1 г",0 г
Голяшка Говяжья Бескостная Фермерская [Ашан],187 кКал,"18,9 г","12,4 г",0 г
Голяшка Свиная [Ашан],167 кКал,17 г,11 г,0 г
Голяшка Телячья [Ашан],94 кКал,19 г,2 г,0 г
Горбуша [Ашан],174 кКал,21 г,10 г,0 г
Горбуша г/К [Ашан],177 кКал,24 г,9 г,0 г
Горбуша Х/К [Ашан],235 кКал,21 г,5 г,0 г
Горбуша Х/К Спинка [Ашан],235 кКал,21 г,15 г,0 г
Горох Варёный [Ашан],60 кКал,6 г,0 г,9 г
Горошек Зелёный [Ашан],35 кКал,3 г,0 г,6 г
Горошек Печеный с Овощами [Ашан],60 кКал,"2,5 г","1,5 г",9 г
Горошница [Ашан],128 кКал,"7,6 г","3,2 г","16,2 г"
Горчица [Ашан],155 кКал,"7,2 г","11,8 г","2,3 г"
Горчица Дижонская Био [Ашан],165 кКал,"6,3 г","11,3 г","7,4 г"
Горчица Дижонская Сладкая [Ашан],180 кКал,"8,5 г",13 г,"7,5 г"
Горчица Зернистая [Ашан],210 кКал,"7,5 г",9 г,25 г
Горький Шоколад 60% Цукаты и Орехи [Ашан],515 кКал,"6,4 г","32,5 г","49,2 г"
Горький Шоколад 72% [Ашан],570 кКал,9 г,"42,4 г",36 г
Горький Шоколад Куба 70% [Ашан],537 кКал,"7,7 г","42,6 г","30,7 г"
Горький Шоколад Папуа Новая Гвинея [Ашан],506 кКал,"8,9 г","38,4 г","31,1 г"
Горький Шоколад с Цукатами и Орехами [Ашан],515 кКал,"6,4 г","32,5 г","49,2 г"
"Горький Шоколад Санто-Доминго 71,6% [Ашан]",541 кКал,"7,6 г","43,1 г","30,7 г"
Горький Шоколад Эквадор 72% Какао [Ашан],506 кКал,"8,9 г","38,6 г","30,7 г"
Гранат [Ашан],52 кКал,"0,9 г",0 г,"13,9 г"
Гренадиновый Сироп [Ашан],308 кКал,0 г,0 г,77 г
Грецкие Орехи [Ашан],660 кКал,16 г,61 г,11 г
Грецкий Орех [Ашан],686 кКал,15 г,66 г,8 г
Грецкий Орех Очищенный [Ашан],648 кКал,"16,8 г","10,2 г","61,3 г"
Греческая Улитка Мак Ваниль [Ашан],334 кКал,"7,6 г","7,9 г","58,2 г"
Греческий Салат [Ашан],304 кКал,"13,3 г","24,3 г","7,6 г"
Гречка [Ашан],340 кКал,13 г,"3,5 г",64 г
Гречка в Пакетиках [Ашан],215 кКал,"8,1 г","2,2 г",40 г
Гречка Грибы [Ашан],145 кКал,"5,4 г","4,5 г","20,8 г"
Гречка на Пару [Ашан],157 кКал,"6,2 г","1,6 г","29,5 г"
Гречка Отварная [Ашан],104 кКал,4 г,2 г,19 г
Гречка с Грибами [Ашан],188 кКал,"5,4 г","9,3 г","20,5 г"
Гречневая Каша с Курицей [Ашан],139 кКал,"1,5 г","5,8 г","19,8 г"
Гречневая Крупа [Ашан],350 кКал,13 г,3 г,68 г
Гречневая Крупа [Ашан],215 кКал,"8,1 г","2,2 г",40 г
"Грибы ""Шитаки"" [Ашан]",116 кКал,"3,7 г","10,9 г","1,1 г"
Грибы в Сметанном Соусе [Ашан],134 кКал,"31,6 г","20,8 г","28,8 г"
Грибы Шиитаке [Ашан],34 кКал,"2,2 г","0,5 г","6,8 г"
Грудинка Говяжья Бескостная «Фермерская» [Ашан],250 кКал,12 г,22 г,0 г
Грудинка на Хрящиках [Ашан],530 кКал,8 г,55 г,0 г
Грудинка Свиная Б/К [Ашан],543 кКал,8 г,55 г,0 г
Грудка Куриная Отварная [Ашан],183 кКал,"34,2 г","4,9 г","0,3 г"
Грудки Куриные Гриль [Ашан],140 кКал,"17,8 г","7,6 г",0 г
Груша Анжу [Ашан],59 кКал,"0,4 г","0,4 г","15,1 г"
Груша Вильямс [Ашан],42 кКал,"0,4 г",0 г,"10,7 г"
Груша Вяленая [Ашан],250 кКал,"2,5 г","0,5 г",63 г
